7  1029 90.44
21:01:04.155 -> 812  -3065  1031 90.62
21:01:04.155 -> 812  -3065  1031 90.62
21:01:04.155 -> 812  -3065  1031 90.62
21:01:04.155 -> 812  -3065  1031 90.62
21:01:04.155 -> 812  -3065  1031 90.62
21:01:04.155 -> 812  -3065  1031 90.62
21:01:04.155 -> 812  -3065  1031 90.62
21:01:04.155 -> 812  -3065  1031 90.62
21:01:04.155 -> 812  -3065  1031 90.62
21:01:04.155 -> 812  -3065  1031 90.62
21:01:04.190 -> 812  -3065  1031 90.62
21:01:04.190 -> 812  -3065  1031 90.62
21:01:04.190 -> 812  -3065  1031 90.62
21:01:04.190 -> 812  -3065  1031 90.62
21:01:04.190 -> 811  -3066  1030 90.53
21:01:04.190 -> 812  -3065  1031 90.62
21:01:04.190 -> 811  -3066  1030 90.53
21:01:04.190 -> 811  -3066  1030 90.53
21:01:04.190 -> 811  -3066  1030 90.53
21:01:04.190 -> 811  -3066  1030 90.53
21:01:04.190 -> 811  -3066  1030 90.53
21:01:04.190 -> 811  -3066  1030 90.53
21:01:04.190 -> 811  -3066  1030 90.53
21:01:04.190 -> 811  -3066  1030 90.53
21:01:04.190 -> 811  -3066  1030 90.53
21:01:04.190 -> 811  -3066  1030 90.53
21:01:04.224 -> 811  -3066  1030 90.53
21:01:04.224 -> 811  -3066  1030 90.53
21:01:04.224 -> 811  -3066  1030 90.53
21:01:04.224 -> 811  -3066  1030 90.53
21:01:04.224 -> 811  -3066  1030 90.53
21:01:04.224 -> 811  -3066  1030 90.53
21:01:04.224 -> 811  -3066  1030 90.53
21:01:04.224 -> 811  -3066  1030 90.53
21:01:04.224 -> 811  -3066  1030 90.53
21:01:04.224 -> 811  -3066  1030 90.53
21:01:04.224 -> 811  -3066  1030 90.53
21:01:04.224 -> 811  -3066  1030 90.53
21:01:04.224 -> 811  -3066  1030 90.53
21:01:04.224 -> 811  -3066  1030 90.53
21:01:04.224 -> 811  -3066  1030 90.53
21:01:04.224 -> 811  -3066  1030 90.53
21:01:04.257 -> 811  -3066  1030 90.53
21:01:04.257 -> 811  -3066  1030 90.53
21:01:04.257 -> 811  -3066  1030 90.53
21:01:04.257 -> 811  -3066  1030 90.53
21:01:04.257 -> 812  -3065  1031 90.62
21:01:04.257 -> 812  -3065  1031 90.62
21:01:04.257 -> 812  -3065  1031 90.62
21:01:04.257 -> 812  -3065  1031 90.62
21:01:04.257 -> 812  -3065  1031 90.62
21:01:04.257 -> 812  -3065  1031 90.62
21:01:04.257 -> 812  -3065  1031 90.62
21:01:04.257 -> 812  -3065  1031 90.62
21:01:04.257 -> 812  -3065  1031 90.62
21:01:04.257 -> 812  -3065  1031 90.62
21:01:04.257 -> 812  -3065  1031 90.62
21:01:04.257 -> 812  -3065  1031 90.62
21:01:04.257 -> 812  -3065  1031 90.62
21:01:04.257 -> 812  -3065  1031 90.62
21:01:04.291 -> 812  -3065  1031 90.62
21:01:04.291 -> 812  -3065  1031 90.62
21:01:04.291 -> 812  -3065  1031 90.62
21:01:04.291 -> 812  -3065  1031 90.62
21:01:04.291 -> 812  -3065  1031 90.62
21:01:04.291 -> 812  -3065  1031 90.62
21:01:04.291 -> 812  -3065  1031 90.62
21:01:04.291 -> 812  -3065  1031 90.62
21:01:04.291 -> 812  -3065  1031 90.62
21:01:04.291 -> 812  -3065  1031 90.62
21:01:04.291 -> 812  -3065  1031 90.62
21:01:04.291 -> 812  -3065  1031 90.62
21:01:04.291 -> 812  -3065  1031 90.62
21:01:04.291 -> 812  -3065  1031 90.62
21:01:04.291 -> 812  -3065  1031 90.62
21:01:04.291 -> 812  -3065  1031 90.62
21:01:04.324 -> 812  -3065  1031 90.62
21:01:04.324 -> 812  -3065  1031 90.62
21:01:04.324 -> 812  -3065  1031 90.62
21:01:04.324 -> 812  -3065  1031 90.62
21:01:04.324 -> 812  -3065  1031 90.62
21:01:04.324 -> 812  -3065  1031 90.62
21:01:04.324 -> 811  -3066  1030 90.53
21:01:04.324 -> 811  -3066  1030 90.53
21:01:04.324 -> 811  -3066  1030 90.53
21:01:04.324 -> 811  -3066  1030 90.53
21:01:04.324 -> 811  -3066  1030 90.53
21:01:04.324 -> 811  -3066  1030 90.53
21:01:04.324 -> 811  -3066  1030 90.53
21:01:04.324 -> 811  -3066  1030 90.53
21:01:04.324 -> 811  -3066  1030 90.53
21:01:04.324 -> 811  -3066  1030 90.53
21:01:04.358 -> 811  -3066  1030 90.53
21:01:04.358 -> 811  -3066  1030 90.53
21:01:04.358 -> 811  -3066  1030 90.53
21:01:04.358 -> 811  -3066  1030 90.53
21:01:04.358 -> 811  -3066  1030 90.53
21:01:04.358 -> 811  -3066  1030 90.53
21:01:04.358 -> 811  -3066  1030 90.53
21:01:04.358 -> 811  -3066  1030 90.53
21:01:04.358 -> 811  -3066  1030 90.53
21:01:04.358 -> 811  -3066  1030 90.53
21:01:04.358 -> 811  -3066  1030 90.53
21:01:04.358 -> 810  -3067  1029 90.44
